event_type,event_month,market_avg,market_max
sports,8,92333.7240125,1279695.0
sports,9,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
sports,12,92333.7240125,1279695.0
sports,1,92333.7240125,1279695.0
sports,1,92333.7240125,1279695.0
sports,1,92333.7240125,1279695.0
sports,12,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,9,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
sports,9,92333.7240125,1279695.0
sports,12,92333.7240125,1279695.0
sports,10,92333.7240125,1279695.0
sports,9,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,5,92333.7240125,1279695.0
sports,12,92333.7240125,1279695.0
sports,10,92333.7240125,1279695.0
sports,12,92333.7240125,1279695.0
sports,9,92333.7240125,1279695.0
sports,10,92333.7240125,1279695.0
sports,12,92333.7240125,1279695.0
sports,10,92333.7240125,1279695.0
sports,11,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
music,11,92333.7240125,1279695.0
music,11,92333.7240125,1279695.0
music,11,92333.7240125,1279695.0
music,11,92333.7240125,1279695.0
music,9,92333.7240125,1279695.0
music,9,92333.7240125,1279695.0
sports,8,92333.7240125,1279695.0
sports,10,92333.7240125,1279695.0
sports,10,92333.7240125,1279695.0
arts & theatre,9,92333.7240125,1279695.0
arts & theatre,9,92333.7240125,1279695.0
arts & theatre,9,92333.7240125,1279695.0
arts & theatre,9,92333.7240125,1279695.0
arts & theatre,9,92333.7240125,1279695.0
